scholar_name,mag_name,jw,qgram,scholar_cat
Neurourology and Urodynamics,Neurobiology of Pain,0.849,0.345,med_urologynephrology
Neurourology and Urodynamics,Neurology Asia,0.848,0.379,med_urologynephrology
Nephrology Dialysis Transplantation,Nephrology Dialysis Transplantation,1,1,med_urologynephrology
Nephrology Dialysis Transplantation,Nephrology,0.857,0.306,med_urologynephrology
Nephrology Dialysis Transplantation,Nephrology Nursing Journal,0.843,0.361,med_urologynephrology
Nature Reviews. Urology,Nature Reviews Urology,0.991,0.917,med_urologynephrology
Nature Reviews. Urology,Nature Reviews Neurology,0.975,0.84,med_urologynephrology
Nature Reviews. Urology,Nature Reviews Nephrology,0.951,0.769,med_urologynephrology
Nature Reviews. Nephrology,Nature Reviews Nephrology,0.992,0.926,med_urologynephrology
Nature Reviews. Nephrology,Nature Reviews Neurology,0.969,0.815,med_urologynephrology
Nature Reviews. Nephrology,Nature Reviews Urology,0.952,0.741,med_urologynephrology
Kidney International,Kidney International,1,1,med_urologynephrology
Kidney International,Kidney International Reports,0.943,0.724,med_urologynephrology
Kidney International,Welding International,0.901,0.636,med_urologynephrology
Journal of the American Society of Nephrology,Journal of The American Society of Nephrology,1,1,med_urologynephrology
Journal of the American Society of Nephrology,Journal of The American Society of Hypertension,0.956,0.729,med_urologynephrology
Journal of the American Society of Nephrology,Journal of The American Society of Echocardiography,0.95,0.731,med_urologynephrology
Journal of Nephrology,Journal of Nephrology,1,1,med_urologynephrology
Journal of Nephrology,Journal of Neurology,0.971,0.864,med_urologynephrology
Journal of Nephrology,Journal of Rheology,0.97,0.727,med_urologynephrology
European Urology,European Urology,1,1,med_urologynephrology
European Urology,European Neurology,0.978,0.842,med_urologynephrology
European Urology,European Radiology,0.954,0.737,med_urologynephrology
Clinical Kidney Journal,Clinical Skin Cancer,0.894,0.417,med_urologynephrology
Clinical Kidney Journal,Clinical Pulmonary Medicine,0.881,0.429,med_urologynephrology
Clinical Kidney Journal,Clinical Endocrinology,0.876,0.417,med_urologynephrology
Clinical Journal of the American Society of Nephrology,Clinical Journal of The American Society of Nephrology,1,1,med_urologynephrology
Clinical Journal of the American Society of Nephrology,Clinical Journal of Gastroenterology,0.89,0.491,med_urologynephrology
Clinical Journal of the American Society of Nephrology,Clinical Journal of Chinese Medicine,0.885,0.455,med_urologynephrology
BMC Nephrology,BMC Nephrology,1,1,med_urologynephrology
BMC Nephrology,BMC Neurology,0.956,0.8,med_urologynephrology
BMC Nephrology,BMC Urology,0.925,0.667,med_urologynephrology
BJU International,Zkg International,0.882,0.778,med_urologynephrology
BJU International,Hip International,0.859,0.778,med_urologynephrology
BJU International,Museum International,0.833,0.667,med_urologynephrology
Andrology,Andrologie,0.938,0.727,med_urologynephrology
Andrology,Andrologia,0.938,0.727,med_urologynephrology
Andrology,Radiology,0.884,0.5,med_urologynephrology
American Journal of Physiology-Renal Physiology,American Journal of Physiology-renal Physiology,1,1,med_urologynephrology
American Journal of Physiology-Renal Physiology,American Journal of Physiology-cell Physiology,0.96,0.896,med_urologynephrology
American Journal of Physiology-Renal Physiology,American Journal of Physiology,0.928,0.646,med_urologynephrology
American Journal of Nephrology,American Journal of Nephrology,1,1,med_urologynephrology
American Journal of Nephrology,American Journal of Rhinology,0.973,0.806,med_urologynephrology
American Journal of Nephrology,American Journal of Perinatology,0.968,0.758,med_urologynephrology
American Journal of Kidney Diseases,American Journal of Kidney Diseases,1,1,med_urologynephrology
American Journal of Kidney Diseases,American Journal of Chinese Studies,0.935,0.694,med_urologynephrology
American Journal of Kidney Diseases,American journal of disaster medicine,0.925,0.658,med_urologynephrology
Strahlentherapie und Onkologie,Strahlentherapie Und Onkologie,1,1,med_nuclearmedicineradiotherapymolecularimaging
Strahlentherapie und Onkologie,Strahlentherapie. Sonderbände,0.875,0.613,med_nuclearmedicineradiotherapymolecularimaging
Strahlentherapie und Onkologie,Strail Journal of Preventive Medicine,0.822,0.237,med_nuclearmedicineradiotherapymolecularimaging
Seminars in Nuclear Medicine,Seminars in Nuclear Medicine,1,1,med_nuclearmedicineradiotherapymolecularimaging
Seminars in Nuclear Medicine,Seminars in Vascular Medicine,0.919,0.767,med_nuclearmedicineradiotherapymolecularimaging
Seminars in Nuclear Medicine,Seminars in adolescent medicine,0.907,0.688,med_nuclearmedicineradiotherapymolecularimaging
Radiotherapy and Oncology,Radiotherapy and Oncology,1,1,med_nuclearmedicineradiotherapymolecularimaging
Radiotherapy and Oncology,Radiology and Oncology,0.872,0.731,med_nuclearmedicineradiotherapymolecularimaging
Radiotherapy and Oncology,Radiation Oncology,0.866,0.538,med_nuclearmedicineradiotherapymolecularimaging
Radiation Research,Radiation Research,1,1,med_nuclearmedicineradiotherapymolecularimaging
Radiation Research,Addiction Research,0.926,0.789,med_nuclearmedicineradiotherapymolecularimaging
Radiation Research,Radiation Measurements,0.876,0.522,med_nuclearmedicineradiotherapymolecularimaging
Radiation Oncology,Radiation Oncology,1,1,med_nuclearmedicineradiotherapymolecularimaging
Radiation Oncology,Radiation oncology journal,0.938,0.704,med_nuclearmedicineradiotherapymolecularimaging
Radiation Oncology,Radiation Oncology Investigations,0.909,0.559,med_nuclearmedicineradiotherapymolecularimaging
Practical Radiation Oncology,Practical radiation oncology,1,1,med_nuclearmedicineradiotherapymolecularimaging
Practical Radiation Oncology,Practical Diabetology,0.896,0.586,med_nuclearmedicineradiotherapymolecularimaging
Practical Radiation Oncology,Practical Anthropology,0.895,0.517,med_nuclearmedicineradiotherapymolecularimaging
Physics in Medicine & Biology,Physics in Medicine and Biology,0.974,0.875,med_nuclearmedicineradiotherapymolecularimaging
Physics in Medicine & Biology,Physics in Medicine,0.931,0.667,med_nuclearmedicineradiotherapymolecularimaging
Physics in Medicine & Biology,Physics in Technology,0.912,0.533,med_nuclearmedicineradiotherapymolecularimaging
Physica Medica,Physica Medica,1,1,med_nuclearmedicineradiotherapymolecularimaging
Physica Medica,Physicae,0.914,0.467,med_nuclearmedicineradiotherapymolecularimaging
Physica Medica,Physical Mesomechanics,0.889,0.435,med_nuclearmedicineradiotherapymolecularimaging
NMR in biomedicine,NMR in Biomedicine,1,1,med_nuclearmedicineradiotherapymolecularimaging
NMR in biomedicine,Missouri medicine,0.819,0.421,med_nuclearmedicineradiotherapymolecularimaging
NMR in biomedicine,Asian Biomedicine,0.796,0.684,med_nuclearmedicineradiotherapymolecularimaging
Molecular Imaging and Biology,Molecular Imaging and Biology,1,1,med_nuclearmedicineradiotherapymolecularimaging
Molecular Imaging and Biology,Molecular Imaging,0.917,0.6,med_nuclearmedicineradiotherapymolecularimaging
Molecular Imaging and Biology,Molecular Imaging and Radionuclide Therapy,0.903,0.558,med_nuclearmedicineradiotherapymolecularimaging
Medical Physics,Medical Physics,1,1,med_nuclearmedicineradiotherapymolecularimaging
Medical Physics,Chemical Physics,0.912,0.706,med_nuclearmedicineradiotherapymolecularimaging
Medical Physics,Medical Photonics,0.911,0.722,med_nuclearmedicineradiotherapymolecularimaging
Journal of Nuclear Medicine,Journal of Nuclear Medicine Technology,0.942,0.718,med_nuclearmedicineradiotherapymolecularimaging
Journal of Nuclear Medicine,Journal of Molecular Medicine,0.941,0.767,med_nuclearmedicineradiotherapymolecularimaging
Journal of Nuclear Medicine,Journal of Oriental Medicine,0.94,0.69,med_nuclearmedicineradiotherapymolecularimaging
Journal of Nuclear Cardiology,Journal of Nuclear Cardiology,1,1,med_nuclearmedicineradiotherapymolecularimaging
Journal of Nuclear Cardiology,Journal of Neuroradiology,0.933,0.633,med_nuclearmedicineradiotherapymolecularimaging
Journal of Nuclear Cardiology,Journal of Child Neurology,0.933,0.6,med_nuclearmedicineradiotherapymolecularimaging
International Journal of Radiation Oncology * Biology * Physics,International Journal of Radiation Oncology Biology Physics,0.974,0.938,med_nuclearmedicineradiotherapymolecularimaging
International Journal of Radiation Oncology * Biology * Physics,International Journal of Radiation Biology,0.919,0.672,med_nuclearmedicineradiotherapymolecularimaging
International Journal of Radiation Oncology * Biology * Physics,International journal of sociology and anthropology,0.915,0.562,med_nuclearmedicineradiotherapymolecularimaging
International Journal of Radiation Biology,International Journal of Radiation Biology,1,1,med_nuclearmedicineradiotherapymolecularimaging
International Journal of Radiation Biology,International Journal of Low Radiation,0.949,0.837,med_nuclearmedicineradiotherapymolecularimaging
International Journal of Radiation Biology,International Journal of Oral Biology,0.949,0.791,med_nuclearmedicineradiotherapymolecularimaging
European Journal of Nuclear Medicine and Molecular Imaging,European Journal of Nuclear Medicine and Molecular Imaging,1,1,med_nuclearmedicineradiotherapymolecularimaging
European Journal of Nuclear Medicine and Molecular Imaging,European Journal of Case Reports in Internal Medicine,0.893,0.525,med_nuclearmedicineradiotherapymolecularimaging
European Journal of Nuclear Medicine and Molecular Imaging,European Journal of Electrical Engineering,0.893,0.492,med_nuclearmedicineradiotherapymolecularimaging
EJNMMI Research,EJNMMI research,1,1,med_nuclearmedicineradiotherapymolecularimaging
EJNMMI Research,Immunome Research,0.871,0.556,med_nuclearmedicineradiotherapymolecularimaging
EJNMMI Research,EJNMMI Physics,0.856,0.438,med_nuclearmedicineradiotherapymolecularimaging
Diagnostics,Diagnostica,0.964,0.833,med_nuclearmedicineradiotherapymolecularimaging
Diagnostics,Diagnostic imaging,0.893,0.526,med_nuclearmedicineradiotherapymolecularimaging
Diagnostics,Diagnostic Histopathology,0.888,0.385,med_nuclearmedicineradiotherapymolecularimaging
Clinical Oncology,Clinical Oncology,1,1,med_nuclearmedicineradiotherapymolecularimaging
Clinical Oncology,Clinical Toxicology,0.957,0.75,med_nuclearmedicineradiotherapymolecularimaging
Clinical Oncology,Clinical Endocrinology,0.943,0.609,med_nuclearmedicineradiotherapymolecularimaging
Clinical Nuclear Medicine,Clinical Nuclear Medicine,1,1,med_nuclearmedicineradiotherapymolecularimaging
Clinical Nuclear Medicine,Clinical Pulmonary Medicine,0.902,0.679,med_nuclearmedicineradiotherapymolecularimaging
Clinical Nuclear Medicine,Clinical Lung Cancer,0.9,0.385,med_nuclearmedicineradiotherapymolecularimaging
The Pediatric Infectious Disease Journal,The Open Area Studies Journal,0.897,0.39,med_pediatricmedicine
The Pediatric Infectious Disease Journal,The Open Surface Science Journal,0.891,0.341,med_pediatricmedicine
The Pediatric Infectious Disease Journal,The Open Infectious Diseases Journal,0.888,0.756,med_pediatricmedicine
The Journal of Pediatrics,The Journal of Pediatrics,1,1,med_pediatricmedicine
The Journal of Pediatrics,The Journal of Politics,0.951,0.731,med_pediatricmedicine
The Journal of Pediatrics,The Journal of Ethics,0.94,0.692,med_pediatricmedicine
Seminars in Fetal and Neonatal Medicine,Seminars in Fetal & Neonatal Medicine,0.94,0.9,med_pediatricmedicine
Seminars in Fetal and Neonatal Medicine,Seminars in adolescent medicine,0.901,0.55,med_pediatricmedicine
Seminars in Fetal and Neonatal Medicine,Seminars in Avian and Exotic Pet Medicine,0.893,0.619,med_pediatricmedicine
Pediatrics,Pediatrics,1,1,med_pediatricmedicine
Pediatrics,Pediatric News,0.943,0.667,med_pediatricmedicine
Pediatrics,Pediatric Drugs,0.933,0.625,med_pediatricmedicine
Pediatric Research,Pediatric Research,1,1,med_pediatricmedicine
Pediatric Research,Pediatrics,0.911,0.474,med_pediatricmedicine
Pediatric Research,Pediatric Reports,0.906,0.632,med_pediatricmedicine
Pediatric Nephrology,Pediatric Nephrology,1,1,med_pediatricmedicine
Pediatric Nephrology,Pediatric Neurology,0.969,0.857,med_pediatricmedicine
Pediatric Nephrology,Pediatric Rheumatology,0.933,0.652,med_pediatricmedicine
Pediatric Diabetes,Pediatric Diabetes,1,1,med_pediatricmedicine
Pediatric Diabetes,Pediatric Obesity,0.916,0.632,med_pediatricmedicine
Pediatric Diabetes,Pediatric Anesthesia,0.913,0.571,med_pediatricmedicine
Pediatric Critical Care Medicine,Pediatric Critical Care Medicine,1,1,med_pediatricmedicine
Pediatric Critical Care Medicine,Pediatric Clinics of North America,0.883,0.486,med_pediatricmedicine
Pediatric Critical Care Medicine,Pediatric Infection and Vaccine,0.87,0.455,med_pediatricmedicine
Journal of Perinatology,Journal of Perinatology,1,1,med_pediatricmedicine
Journal of Perinatology,Journal of Petrology,0.964,0.75,med_pediatricmedicine
Journal of Perinatology,Journal of Dermatology,0.956,0.792,med_pediatricmedicine
Journal of Pediatric Surgery,Journal of Pediatric Surgery,1,1,med_pediatricmedicine
Journal of Pediatric Surgery,Journal of Pediatric Urology,0.957,0.793,med_pediatricmedicine
Journal of Pediatric Surgery,Journal of orthopaedic surgery,0.951,0.742,med_pediatricmedicine
Journal of Pediatric Gastroenterology and Nutrition,Journal of Pediatric Gastroenterology and Nutrition,1,1,med_pediatricmedicine
Journal of Pediatric Gastroenterology and Nutrition,Journal of Pediatric Neuroradiology,0.903,0.558,med_pediatricmedicine
Journal of Pediatric Gastroenterology and Nutrition,Journal of Pediatric Endocrinology and Metabolism,0.902,0.615,med_pediatricmedicine
Journal of Inherited Metabolic Disease,Journal of Inherited Metabolic Disease,1,1,med_pediatricmedicine
Journal of Inherited Metabolic Disease,Journal of Siberian Medical Sciences,0.915,0.462,med_pediatricmedicine
Journal of Inherited Metabolic Disease,Journal of Medieval Iberian Studies,0.908,0.462,med_pediatricmedicine
JAMA Pediatrics,JAMA Pediatrics,1,1,med_pediatricmedicine
JAMA Pediatrics,JAMA Psychiatry,0.857,0.562,med_pediatricmedicine
JAMA Pediatrics,JAMA,0.853,0.312,med_pediatricmedicine
Frontiers in Pediatrics,Frontiers in Pediatrics,1,1,med_pediatricmedicine
Frontiers in Pediatrics,Frontiers in Optics,0.935,0.667,med_pediatricmedicine
Frontiers in Pediatrics,Frontiers in Education,0.927,0.625,med_pediatricmedicine
European Journal of Pediatrics,European Journal of Pediatrics,1,1,med_pediatricmedicine
European Journal of Pediatrics,European Journal of Pediatric Surgery,0.962,0.763,med_pediatricmedicine
European Journal of Pediatrics,European Journal of Arts,0.952,0.677,med_pediatricmedicine
Developmental Medicine & Child Neurology,Developmental Medicine & Child Neurology,1,1,med_pediatricmedicine
Developmental Medicine & Child Neurology,Developmental period medicine,0.89,0.585,med_pediatricmedicine
Developmental Medicine & Child Neurology,Developmental Neuroscience,0.885,0.512,med_pediatricmedicine
BMC Pediatrics,BMC Pediatrics,1,1,med_pediatricmedicine
BMC Pediatrics,BMC Geriatrics,0.91,0.733,med_pediatricmedicine
BMC Pediatrics,BMC Medical Ethics,0.871,0.474,med_pediatricmedicine
Archives of Disease in Childhood-Fetal and Neonatal Edition,Archives of Disease in Childhood-fetal and Neonatal Edition,1,1,med_pediatricmedicine
Archives of Disease in Childhood-Fetal and Neonatal Edition,Archives of Disease in Childhood-education and Practice Edition,0.929,0.734,med_pediatricmedicine
Archives of Disease in Childhood-Fetal and Neonatal Edition,Archives of Disease in Childhood,0.908,0.55,med_pediatricmedicine
Archives of Disease in Childhood,Archives of Disease in Childhood,1,1,med_pediatricmedicine
Archives of Disease in Childhood,Archives of Disease in Childhood-fetal and Neonatal Edition,0.908,0.55,med_pediatricmedicine
Archives of Disease in Childhood,Archives of Disease in Childhood-education and Practice Edition,0.902,0.516,med_pediatricmedicine
Acta Paediatrica,Acta Paediatrica,1,1,med_pediatricmedicine
Acta Paediatrica,Acta Adriatica,0.946,0.647,med_pediatricmedicine
Acta Paediatrica,Acta paediatrica sinica,0.939,0.708,med_pediatricmedicine
Marketing Science,Marketing Science,1,1,bus_marketing
Marketing Science,Marine Sciences,0.927,0.667,bus_marketing
Marketing Science,Marketing Letters,0.89,0.556,bus_marketing
Journal of the Academy of Marketing Science,Journal of the Academy of Marketing Science,1,1,bus_marketing
Journal of the Academy of Marketing Science,Journal of the Siena Academy of Sciences,0.93,0.75,bus_marketing
Journal of the Academy of Marketing Science,Journal of the Global Academy of Marketing Science,0.925,0.863,bus_marketing
Journal of Services Marketing,Journal of Services Marketing,1,1,bus_marketing
Journal of Services Marketing,Journal of Direct Marketing,0.942,0.7,bus_marketing
Journal of Services Marketing,Journal of Service Management,0.929,0.667,bus_marketing
Journal of Service Research,Journal of Service Research,1,1,bus_marketing
Journal of Service Research,Journal of species research,0.946,0.75,bus_marketing
Journal of Service Research,Journal of Forensic Research,0.94,0.724,bus_marketing
Journal of Retailing and Consumer Services,Journal of Retailing and Consumer Services,1,1,bus_marketing
Journal of Retailing and Consumer Services,Journal of Metallurgy and Materials Science,0.906,0.5,bus_marketing
Journal of Retailing and Consumer Services,Journal of Studies in Technical Careers,0.906,0.442,bus_marketing
Journal of Product & Brand Management,Journal of Product & Brand Management,1,1,bus_marketing
Journal of Product & Brand Management,Journal of Operations Management,0.905,0.605,bus_marketing
Journal of Product & Brand Management,Journal of Transport and Land Use,0.904,0.447,bus_marketing
Journal of Marketing Research,Journal of Marketing Research,1,1,bus_marketing
Journal of Marketing Research,Journal of Marine Research,0.972,0.8,bus_marketing
Journal of Marketing Research,Journal of maritime research,0.957,0.8,bus_marketing
Journal of Marketing Management,Journal of Marketing Management,1,1,bus_marketing
Journal of Marketing Management,Journal of Range Management,0.93,0.719,bus_marketing
Journal of Marketing Management,Journal of Marketing,0.929,0.656,bus_marketing
Journal of Marketing,Journal of Marketing,1,1,bus_marketing
Journal of Marketing,Journal of Macromarketing,0.96,0.808,bus_marketing
Journal of Marketing,Journal of Euromarketing,0.947,0.8,bus_marketing
Journal of Interactive Marketing,Journal of Interactive Marketing,1,1,bus_marketing
Journal of Interactive Marketing,Journal of Interactive Advertising,0.957,0.771,bus_marketing
Journal of Interactive Marketing,Journal of Integrative Agriculture,0.931,0.571,bus_marketing
Journal of Destination Marketing & Management,Journal of Destination Marketing and Management,0.965,0.917,bus_marketing
Journal of Destination Marketing & Management,Journal of Hospitality Marketing & Management,0.901,0.739,bus_marketing
Journal of Destination Marketing & Management,Journal of Information & Knowledge Management,0.901,0.674,bus_marketing
Journal of Consumer Research,Journal of Consumer Research,1,1,bus_marketing
Journal of Consumer Research,Journal of Forensic Research,0.948,0.724,bus_marketing
Journal of Consumer Research,Journal of Neutron Research,0.932,0.724,bus_marketing
Journal of Business Research,Journal of Business Research,1,1,bus_marketing
Journal of Business Research,Journal of Business Research-Turk,0.97,0.824,bus_marketing
Journal of Business Research,Journal of Business Ethics,0.948,0.69,bus_marketing
Journal of Business & Industrial Marketing,Journal of Business & Industrial Marketing,1,1,bus_marketing
Journal of Business & Industrial Marketing,Journal of Business Administration & Law,0.918,0.605,bus_marketing
Journal of Business & Industrial Marketing,Journal of Business Strategy,0.914,0.512,bus_marketing
Journal of Advertising,Journal of Advertising,1,1,bus_marketing
Journal of Advertising,Journal of Retailing,0.952,0.609,bus_marketing
Journal of Advertising,Journal of Advertising Research,0.942,0.719,bus_marketing
International Journal of Retail & Distribution Management,International Journal of Retail & Distribution Management,1,1,bus_marketing
International Journal of Retail & Distribution Management,International Journal of Operations & Production Management,0.936,0.7,bus_marketing
International Journal of Retail & Distribution Management,International Journal of Intelligent Games & Simulation,0.921,0.621,bus_marketing
International Journal of Bank Marketing,International Journal of Bank Marketing,1,1,bus_marketing
International Journal of Bank Marketing,International Journal of Wine Marketing,0.953,0.875,bus_marketing
International Journal of Bank Marketing,International Journal of Central Banking,0.948,0.78,bus_marketing
Industrial Marketing Management,Industrial Marketing Management,1,1,bus_marketing
Industrial Marketing Management,Industrial Engineer,0.891,0.438,bus_marketing
Industrial Marketing Management,Industrial Engineering and Management,0.882,0.658,bus_marketing
European Journal of Marketing,European Journal of Marketing,1,1,bus_marketing
European Journal of Marketing,European Journal of Mineralogy,0.951,0.71,bus_marketing
European Journal of Marketing,European Journal of Pain,0.95,0.7,bus_marketing
Electronic Commerce Research and Applications,Electronic Commerce Research and Applications,1,1,bus_marketing
Electronic Commerce Research and Applications,Electronic Commerce Research,0.924,0.63,bus_marketing
Electronic Commerce Research and Applications,Electronic Commerce and Web Technologies,0.891,0.587,bus_marketing
boundary 2,boundary 2,1,1,hum_literaturewriting
boundary 2,Boundary Value Problems,0.858,0.375,hum_literaturewriting
boundary 2,Boundary-Layer Meteorology,0.849,0.333,hum_literaturewriting
ariel: A Review of International English Literature,Ariel-a Review of International English Literature,0.919,0.942,hum_literaturewriting
ariel: A Review of International English Literature,Austrian Review of International and European Law,0.822,0.577,hum_literaturewriting
ariel: A Review of International English Literature,Middle East Review of International Affairs,0.808,0.519,hum_literaturewriting
The Midwest Quarterly,The Midwest quarterly,1,1,hum_literaturewriting
The Midwest Quarterly,The Liber Quarterly,0.908,0.636,hum_literaturewriting
The Midwest Quarterly,The Jewish Quarterly,0.907,0.636,hum_literaturewriting
Textual Practice,Textual Practice,1,1,hum_literaturewriting
Textual Practice,Cattle Practice,0.888,0.529,hum_literaturewriting
Textual Practice,Team in Practice,0.867,0.647,hum_literaturewriting
Style,Style,1,1,hum_literaturewriting
Style,Synlett,0.811,0.25,hum_literaturewriting
Style,Symploke,0.79,0.222,hum_literaturewriting
Studies in the Novel,Studies in The Novel,1,1,hum_literaturewriting
Studies in the Novel,Studies in the Maternal,0.925,0.667,hum_literaturewriting
Studies in the Novel,Studies in Theatre Production,0.893,0.5,hum_literaturewriting
Poetics Today,Poetics Today,1,1,hum_literaturewriting
Poetics Today,Poetics,0.908,0.571,hum_literaturewriting
Poetics Today,Computer today,0.847,0.4,hum_literaturewriting
Orbis Litterarum,Orbis Litterarum,1,1,hum_literaturewriting
Orbis Litterarum,Orbis Tertius,0.901,0.471,hum_literaturewriting
Orbis Litterarum,Orbis,0.862,0.353,hum_literaturewriting
New Literary History,New Literary History,1,1,hum_literaturewriting
New Literary History,New Library World,0.883,0.524,hum_literaturewriting
New Literary History,New York History,0.858,0.571,hum_literaturewriting
Narrative,Narrative,1,1,hum_literaturewriting
Narrative,Narrative Inquiry,0.906,0.556,hum_literaturewriting
Narrative,Narrative Inquiry in Bioethics,0.86,0.323,hum_literaturewriting
Modernism/Modernity,Modernism/modernity,1,1,hum_literaturewriting
Modernism/Modernity,Modern Economy,0.855,0.35,hum_literaturewriting
Modernism/Modernity,Modern medicine,0.853,0.3,hum_literaturewriting
Modern Language Quarterly,Modern Language Quarterly,1,1,hum_literaturewriting
Modern Language Quarterly,Modern Language Notes,0.915,0.654,hum_literaturewriting
Modern Language Quarterly,Modern Language Review,0.908,0.615,hum_literaturewriting
Literature Compass,Literature Compass,1,1,hum_literaturewriting
Literature Compass,Literature and Psychology,0.881,0.423,hum_literaturewriting
Literature Compass,Literatura Mexicana,0.874,0.45,hum_literaturewriting
Journal of World Literature,Journal of World Trade,0.937,0.679,hum_literaturewriting
Journal of World Literature,Journal of Tort Law,0.92,0.464,hum_literaturewriting
Journal of World Literature,Journal of Modern Literature,0.916,0.759,hum_literaturewriting
Journal of Postcolonial Writing,Journal of Postcolonial Writing,1,1,hum_literaturewriting
Journal of Postcolonial Writing,Journal of Optical Networking,0.916,0.531,hum_literaturewriting
Journal of Postcolonial Writing,Journal of Instructional Psychology,0.911,0.556,hum_literaturewriting
Journal of Modern Literature,Journal of Modern Literature,1,1,hum_literaturewriting
Journal of Modern Literature,Journal of Children’s Literature,0.925,0.667,hum_literaturewriting
Journal of Modern Literature,Journal of Modern Craft,0.923,0.655,hum_literaturewriting
English Literary History,English Literary Renaissance,0.9,0.621,hum_literaturewriting
English Literary History,English in Education,0.862,0.32,hum_literaturewriting
English Literary History,English Today,0.861,0.4,hum_literaturewriting
Critique: Studies in Contemporary Fiction,Critique-studies in Contemporary Fiction,0.924,0.929,hum_literaturewriting
Critique: Studies in Contemporary Fiction,Critical Questions in Education,0.873,0.452,hum_literaturewriting
Critique: Studies in Contemporary Fiction,Critique: Journal of Socialist Theory,0.854,0.357,hum_literaturewriting
Comparative Literature Studies,Comparative Literature Studies,1,1,hum_literaturewriting
Comparative Literature Studies,Comparative Literature,0.947,0.742,hum_literaturewriting
Comparative Literature Studies,Comparative Critical Studies,0.913,0.677,hum_literaturewriting
Children's Literature in Education,Childrens Literature in Education,0.994,0.943,hum_literaturewriting
Children's Literature in Education,Children's Literature,0.924,0.629,hum_literaturewriting
Children's Literature in Education,Children's Literature Association Quarterly,0.906,0.614,hum_literaturewriting
Radiology,Radiology,1,1,med_radiologymedicalimaging
Radiology,Radiologe,0.956,0.8,med_radiologymedicalimaging
Radiology,Radiología,0.938,0.727,med_radiologymedicalimaging
RadioGraphics,Radiographics,1,1,med_radiologymedicalimaging
RadioGraphics,Radiography,0.936,0.714,med_radiologymedicalimaging
RadioGraphics,Radiopraxis,0.916,0.5,med_radiologymedicalimaging
Physics in Medicine & Biology,Physics in Medicine and Biology,0.974,0.875,med_radiologymedicalimaging
Physics in Medicine & Biology,Physics in Medicine,0.931,0.667,med_radiologymedicalimaging
Physics in Medicine & Biology,Physics in Technology,0.912,0.533,med_radiologymedicalimaging
Medical Physics,Medical Physics,1,1,med_radiologymedicalimaging
Medical Physics,Chemical Physics,0.912,0.706,med_radiologymedicalimaging
Medical Physics,Medical Photonics,0.911,0.722,med_radiologymedicalimaging
Medical Image Computing and Computer Assisted Intervention,Medical Image Computing and Computer-Assisted Intervention,0.979,0.966,med_radiologymedicalimaging
Medical Image Computing and Computer Assisted Intervention,Medical Informatics and The Internet in Medicine,0.867,0.407,med_radiologymedicalimaging
Medical Image Computing and Computer Assisted Intervention,Medical group Management Association connexion,0.851,0.39,med_radiologymedicalimaging
Magnetic Resonance in Medicine,Magnetic Resonance in Medicine,1,1,med_radiologymedicalimaging
Magnetic Resonance in Medicine,Magnetic Resonance in Medical Sciences,0.951,0.718,med_radiologymedicalimaging
Magnetic Resonance in Medicine,Magnetic Resonance in Chemistry,0.933,0.688,med_radiologymedicalimaging
Journal of the American Society of Echocardiography,Journal of The American Society of Echocardiography,1,1,med_radiologymedicalimaging
Journal of the American Society of Echocardiography,Journal of The American Society of Nephrology,0.95,0.731,med_radiologymedicalimaging
Journal of the American Society of Echocardiography,Journal of the American Society of Cytopathology,0.934,0.731,med_radiologymedicalimaging
Journal of the American College of Radiology,Journal of The American College of Radiology,1,1,med_radiologymedicalimaging
Journal of the American College of Radiology,Journal of the American College of Cardiology,0.991,0.913,med_radiologymedicalimaging
Journal of the American College of Radiology,Journal of the American College of Toxicology,0.959,0.87,med_radiologymedicalimaging
Journal of Magnetic Resonance Imaging,Journal of Magnetic Resonance Imaging,1,1,med_radiologymedicalimaging
Journal of Magnetic Resonance Imaging,Journal of Magnetic Resonance,0.957,0.789,med_radiologymedicalimaging
Journal of Magnetic Resonance Imaging,"Journal of Magnetic Resonance, Series A",0.937,0.725,med_radiologymedicalimaging
JACC: Cardiovascular Imaging,Jacc-cardiovascular Imaging,0.978,0.897,med_radiologymedicalimaging
JACC: Cardiovascular Imaging,Acta Cardiologica Sinica,0.796,0.31,med_radiologymedicalimaging
JACC: Cardiovascular Imaging,Acta Chirurgica Iugoslavica,0.775,0.207,med_radiologymedicalimaging
Investigative Radiology,Investigative Radiology,1,1,med_radiologymedicalimaging
Investigative Radiology,Investigative urology,0.964,0.792,med_radiologymedicalimaging
Investigative Radiology,Investigative and Clinical Urology,0.918,0.543,med_radiologymedicalimaging
IEEE Transactions on Medical Imaging,IEEE Transactions on Medical Imaging,1,1,med_radiologymedicalimaging
IEEE Transactions on Medical Imaging,IEEE Transactions on Multimedia,0.928,0.703,med_radiologymedicalimaging
IEEE Transactions on Medical Imaging,IEEE Transactions on Education,0.923,0.622,med_radiologymedicalimaging
IEEE International Symposium on Biomedical Imaging: From Nano to Macro,IEEE International Symposium on Assembly and Manufacturing,0.9,0.535,med_radiologymedicalimaging
IEEE International Symposium on Biomedical Imaging: From Nano to Macro,IEEE International Symposium on Knowledge Acquisition and Modeling Workshop,0.895,0.526,med_radiologymedicalimaging
IEEE International Symposium on Biomedical Imaging: From Nano to Macro,IEEE International Symposium on Compound Semiconductors,0.891,0.493,med_radiologymedicalimaging
